long,lat,tipo,dist
-38.315448,-12.889975,Radar_fixo,40kmh@40
-38.315819,-12.890214,Radar_fixo,40kmh@40
-38.303473,-12.896851,Radar_fixo,40kmh@40
-38.303630,-12.895375,Radar_fixo,40kmh@40
-38.299772,-12.872188,Radar_fixo,40kmh@40
-38.300447,-12.871502,Radar_fixo,40kmh@40
-37.967338,-12.489286,Radar_fixo,40kmh@40
-53.500689,-26.755360,Radar_fixo,40kmh@40
-53.500960,-26.746589,Radar_fixo,40kmh@40
-53.500869,-26.746470,Radar_fixo,40kmh@40
-54.771364,-20.480540,Radar_fixo,40kmh@40
-46.595337,-21.795851,Radar_fixo,40kmh@40
-46.595481,-21.796202,Radar_fixo,40kmh@40
-46.574582,-21.800098,Radar_fixo,40kmh@40
-46.574919,-21.800049,Radar_fixo,40kmh@40
-46.581203,-21.840708,Radar_fixo,40kmh@40
-46.579593,-21.846577,Radar_fixo,40kmh@40
-46.579426,-21.846549,Radar_fixo,40kmh@40
-46.581436,-21.841078,Radar_fixo,40kmh@40
-46.545991,-21.788807,Radar_fixo,40kmh@40
-46.545609,-21.788700,Radar_fixo,40kmh@40
-48.969716,-15.861595,Radar_fixo,40kmh@40
-53.049939,-26.089804,Radar_fixo,40kmh@40
-47.800546,-15.894582,Radar_fixo,40kmh@40
-42.749434,-5.069607,Radar_fixo,40kmh@40
-46.944544,-19.588636,Radar_fixo,40kmh@40
-46.169356,-17.750379,Radar_fixo,40kmh@40
-51.134797,-29.624141,Radar_fixo,40kmh@40
-55.635925,-21.176007,Radar_fixo,40kmh@40
-45.820319,-23.173598,Radar_fixo,40kmh@40
-39.969077,-13.522699,Radar_fixo,40kmh@40
-43.340851,-22.955978,Radar_fixo,40kmh@40
-40.924081,-19.508378,Radar_fixo,40kmh@40
-46.592405,-23.715145,Radar_fixo,40kmh@40
-48.853556,-26.274701,Radar_fixo,40kmh@40
-48.854013,-26.274774,Radar_fixo,40kmh@40
-46.606884,-23.645429,Radar_fixo,40kmh@40
-46.546374,-23.689098,Radar_fixo,40kmh@40
-46.546423,-23.689356,Radar_fixo,40kmh@40
-40.652943,-3.551251,Radar_fixo,40kmh@40
-40.653274,-3.551032,Radar_fixo,40kmh@40
-40.622727,-3.642097,Radar_fixo,40kmh@40
-48.305109,-18.910494,Radar_fixo,40kmh@40
-49.305015,-25.387283,Radar_fixo,40kmh@40
-49.304660,-25.387196,Radar_fixo,40kmh@40
-48.336994,-10.208366,Radar_fixo,40kmh@40
-48.336776,-10.208949,Radar_fixo,40kmh@40
-48.311616,-10.235734,Radar_fixo,40kmh@40
-48.311509,-10.224500,Radar_fixo,40kmh@40
-39.325169,-14.836908,Radar_fixo,40kmh@40
-39.334630,-14.843245,Radar_fixo,40kmh@40
-45.548265,-23.031764,Radar_fixo,40kmh@40
-40.185271,-10.446849,Radar_fixo,40kmh@40
-59.233704,-15.321018,Radar_fixo,40kmh@40
-59.228974,-15.324180,Radar_fixo,40kmh@40
-38.425232,-12.147075,Radar_fixo,40kmh@40
-38.425477,-12.147279,Radar_fixo,40kmh@40
-38.418669,-12.138104,Radar_fixo,40kmh@40
-38.416159,-12.138706,Radar_fixo,40kmh@40
-38.400765,-12.145050,Radar_fixo,40kmh@40
-38.401396,-12.144798,Radar_fixo,40kmh@40
-38.370856,-12.275204,Radar_fixo,40kmh@40
-54.034030,-19.586670,Radar_fixo,40kmh@40
-45.435997,-23.725883,Radar_fixo,40kmh@40
-47.895299,-20.851291,Radar_fixo,40kmh@40
-47.895799,-20.850547,Radar_fixo,40kmh@40
-47.663776,-21.414519,Radar_fixo,40kmh@40
-47.664720,-21.414367,Radar_fixo,40kmh@40
-47.608615,-21.658730,Radar_fixo,40kmh@40
-47.609339,-21.658174,Radar_fixo,40kmh@40
-51.712252,-20.820462,Radar_fixo,40kmh@40
-53.758568,-20.457049,Radar_fixo,40kmh@40
-46.829784,-23.633832,Radar_fixo,40kmh@40
-44.053848,-19.800673,Radar_fixo,40kmh@40
-39.452806,-15.255442,Radar_fixo,40kmh@40
-39.577762,-16.371747,Radar_fixo,40kmh@40
-39.577637,-16.371830,Radar_fixo,40kmh@40
-45.015414,-12.132057,Radar_fixo,40kmh@40
-43.504854,-18.168465,Radar_fixo,40kmh@40
-55.529502,-11.839723,Radar_fixo,40kmh@40
-43.181323,-22.951903,Radar_fixo,40kmh@40
-45.970518,-23.301760,Radar_fixo,40kmh@40
-49.193148,-16.696408,Radar_fixo,40kmh@40
-52.536610,-26.951647,Radar_fixo,40kmh@40
-46.407632,-23.424453,Radar_fixo,40kmh@40
